É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/12/06 12:31:19

,èºñ{,èºñ{,èºñ{,èºñ{,ñÏëÚâ∑êÚ,ñÏëÚâ∑êÚ,ñÏëÚâ∑êÚ,î—ìc,î—ìc,î—ìc,î—ìc,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,åyà‰ëÚ,è¨íJ,è¨íJ,è¨íJ,äJìcçÇå¥,äJìcçÇå¥,äJìcçÇå¥
2024/2/14,0,1,8,1,52,8,1,0,1,8,1,8,0,8,1,52,8,1,40,8,1
2024/2/15,0,1,8,1,50,8,1,0,1,8,1,6,0,8,1,50,8,1,39,8,1
2024/2/16,0,1,8,1,50,8,1,0,1,8,1,0,1,8,1,58,8,1,30,8,1
2024/2/17,0,1,8,1,47,8,1,0,1,8,1,0,1,8,1,55,8,1,30,8,1
2024/2/18,0,1,8,1,43,8,1,0,1,8,1,0,1,8,1,49,8,1,29,8,1
2024/2/19,0,1,8,1,39,8,1,0,1,8,1,0,1,8,1,45,8,1,26,8,1
2024/2/20,0,1,8,1,30,8,1,0,1,8,1,0,1,8,1,40,8,1,21,8,1
2024/2/21,0,1,8,1,25,8,1,0,1,8,1,0,1,8,1,34,8,1,13,8,1
2024/2/22,0,1,8,1,30,8,1,0,1,8,1,1,0,8,1,44,8,1,3,8,1
2024/2/23,0,1,8,1,26,8,1,0,1,8,1,5,0,8,1,41,8,1,8,8,1
2024/2/24,0,1,8,1,27,8,1,0,1,8,1,5,0,8,1,41,8,1,8,8,1
2024/2/25,4,0,8,1,25,8,1,3,0,8,1,20,0,8,1,37,8,1,18,8,1
2024/2/26,2,0,8,1,37,8,1,0,1,8,1,20,0,8,1,55,8,1,17,8,1
2024/2/27,0,1,8,1,61,8,1,0,1,8,1,11,0,8,1,78,8,1,17,8,1
2024/2/28,0,1,8,1,61,8,1,0,1,8,1,7,0,8,1,79,8,1,15,8,1
2024/2/29,5,0,8,1,55,8,1,0,1,8,1,22,0,8,1,69,8,1,32,8,1
2024/3/1,11,0,8,1,63,8,1,0,1,8,1,29,0,8,1,61,8,1,32,8,1
2024/3/2,2,0,8,1,61,8,1,0,1,8,1,18,0,8,1,71,8,1,22,8,1
2024/3/3,1,0,8,1,49,8,1,0,1,8,1,15,0,8,1,60,8,1,25,8,1
2024/3/4,0,1,8,1,61,8,1,0,1,8,1,12,0,8,1,84,8,1,35,8,1
2024/3/5,8,0,8,1,57,8,1,0,1,8,1,23,0,8,1,62,8,1,41,8,1
2024/3/6,10,0,8,1,61,8,1,0,1,8,1,26,0,8,1,59,8,1,39,8,1
2024/3/7,3,0,8,1,58,8,1,0,1,8,1,23,0,8,1,58,8,1,34,8,1
2024/3/8,0,1,8,1,54,8,1,0,1,8,1,20,0,8,1,60,8,1,33,8,1
2024/3/9,1,0,8,1,67,8,1,0,1,8,1,16,0,8,1,85,8,1,41,8,1
2024/3/10,0,1,8,1,88,8,1,0,1,8,1,15,0,8,1,92,8,1,42,8,1
2024/3/11,0,1,8,1,68,8,1,0,1,8,1,14,0,8,1,77,8,1,36,8,1
2024/3/12,11,0,8,1,65,8,1,0,1,8,1,24,0,8,1,68,8,1,46,8,1
2024/3/13,10,0,8,1,77,8,1,0,1,8,1,25,0,8,1,88,8,1,45,8,1
2024/3/14,0,1,8,1,71,8,1,0,1,8,1,17,0,8,1,76,8,1,42,8,1
2024/3/15,0,1,8,1,65,8,1,0,1,8,1,13,0,8,1,71,8,1,41,8,1
2024/3/16,0,1,8,1,59,8,1,0,1,8,1,10,0,8,1,67,8,1,40,8,1
2024/3/17,0,1,8,1,52,8,1,0,1,8,1,5,0,8,1,62,8,1,39,8,1
2024/3/18,0,1,8,1,50,8,1,0,1,8,1,0,1,8,1,59,8,1,37,8,1
2024/3/19,0,1,8,1,51,8,1,0,1,8,1,0,1,8,1,58,8,1,38,8,1
2024/3/20,0,1,8,1,66,8,1,0,1,8,1,5,0,8,1,88,8,1,60,8,1
2024/3/21,0,1,8,1,91,8,1,0,1,8,1,3,0,8,1,95,8,1,65,8,1
2024/3/22,0,1,8,1,83,8,1,0,1,8,1,0,1,8,1,83,8,1,55,8,1
2024/3/23,0,1,8,1,74,8,1,5,0,8,1,5,0,8,1,78,8,1,64,8,1
2024/3/24,0,1,8,1,66,8,1,0,1,8,1,0,1,8,1,74,8,1,60,8,1
2024/3/25,0,1,8,1,56,8,1,0,1,8,1,0,1,8,1,67,8,1,53,8,1
2024/3/26,0,1,8,1,52,8,1,0,1,8,1,0,1,8,1,64,8,1,46,8,1
2024/3/27,0,1,8,1,48,8,1,0,1,8,1,0,1,8,1,63,8,1,41,8,1
2024/3/28,0,1,8,1,42,8,1,0,1,8,1,0,1,8,1,58,8,1,38,8,1
2024/3/29,0,1,8,1,38,8,1,0,1,8,1,0,1,8,1,53,8,1,34,8,1
2024/3/30,0,1,8,1,28,8,1,0,1,8,1,0,1,8,1,45,8,1,27,8,1
2024/3/31,0,1,8,1,19,8,1,0,1,8,1,0,1,8,1,34,8,1,21,8,1
2024/4/1,0,1,8,1,12,8,1,0,1,8,1,0,1,8,1,23,8,1,9,8,1
2024/4/2,0,1,8,1,4,8,1,0,1,8,1,0,1,8,1,19,8,1,5,8,1
2024/4/3,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,15,8,1,0,8,1
2024/4/4,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,10,8,1,0,8,1
2024/4/5,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,3,8,1,0,8,1
2024/4/6,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/7,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/8,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/9,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/10,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/11,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/12,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/13,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/14,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/15,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/16,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/17,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/18,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/19,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/20,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/21,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/22,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/23,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/24,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/25,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/26,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/27,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/28,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/29,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/4/30,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/1,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/2,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/3,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/4,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/5,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/6,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/7,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/8,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/9,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/10,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/11,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/12,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/13,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/14,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/15,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/16,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/17,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/18,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/19,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/20,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/21,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/22,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/23,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/24,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/25,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/26,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/27,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/28,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/29,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/30,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/5/31,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/1,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/2,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/3,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/4,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/5,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/6,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/7,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/8,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/9,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/10,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/11,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/12,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/13,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/14,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/15,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/16,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/17,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/18,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/19,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/20,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/21,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/22,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/23,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/24,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/25,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/26,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/27,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/28,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/29,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/6/30,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/1,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/2,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/3,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/4,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/5,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/6,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/7,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/8,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/9,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/10,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/11,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/12,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/13,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/14,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/15,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/16,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/17,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/18,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/19,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/20,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/21,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/22,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/23,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/24,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/25,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/26,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/27,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/28,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/29,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/30,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/7/31,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/1,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/2,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/3,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/4,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/5,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/6,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/7,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/8,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/9,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/10,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/11,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/12,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/13,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/14,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/15,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/16,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/17,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/18,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/19,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/20,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/21,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/22,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/23,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/24,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/25,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/26,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/27,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/28,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/29,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/30,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/8/31,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/1,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/2,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/3,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/4,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/5,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/6,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/7,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/8,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/9,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/10,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/11,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/12,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/13,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/14,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/15,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/16,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/17,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/18,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/19,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
2024/9/20,0,1,8,1,0,8,1,0,1,8,1,0,1,8,1,0,8,1,0,8,1
